,like_count_24h
0,28.837144914205
1,11.36064281901804
2,6.044510743438167
3,8.955340681215034
4,19.899442716849336
5,7.158865368647639
6,7.76570376938102
7,10.23859461778315
8,5.165980551443482
9,14.030132297078296
10,49.790782916782845
11,7.492358418707084
12,12.013838153650454
13,10.916253476802979
14,99.97185300117403
15,13.422293057472302
16,11.758085467891618
17,13.27641768922814
18,9.825862076068319
19,134.96145622544157
20,12.380566210170144
21,7.529145196101183
22,13.99706799649121
23,19.378181806619324
24,5.18122255500964
25,10.683873405060694
26,60.637881989174616
27,6.8611896372740375
28,9.821273621373365
29,8.023728431858075
30,9.692830156269821
31,12.380471638232393
32,5.3041779223302115
33,17.079448041939116
34,14.380299168510845
35,8.764780316247425
36,9.103710885868935
37,8.535835731284266
38,5.837352435934605
39,7.5277490531203455
40,8.442746858817088
41,19.616333056543084
42,5.646403285603128
43,14.665725470406272
44,10.636246822923965
45,9.776145227254716
46,13.534506445205238
47,36.92818045672955
48,90.5142989063327
49,63.02413914692147
50,14.02113290186523
51,10.61913592444796
52,6.975497677784432
53,13.016250307705235
54,6.2119359680932575
55,10.789931800836229
56,10.636333661796016
57,13.262184545024013
58,20.594917651327222
59,10.93533920710155
60,78.45179122153161
61,9.05221724284283
62,6.859055867532476
63,12.574347061770709
64,6.378441294869447
65,5.636186955888121
66,7.79736332665999
67,15.591322900513461
68,18.725239950334128
69,19.45400536182447
70,9.092631106660377
71,9.836036285129381
72,7.3769303994494635
73,9.706122575989468
74,10.021625343780414
75,11.180670473247744
76,6.724789310605246
77,6.279607187813241
78,10.45175978094386
79,10.986420862358983
80,5.44837012866833
81,15.340187252062208
82,4.156965541363093
83,11.98857796385684
84,8.70296735583102
85,128.32238897975424
86,10.706444540322622
87,12.581673380662437
88,13.793651527734141
89,12.562876864449379
90,12.169817964071711
91,67.89513993756391
92,10.727087599585673
93,7.898217023028337
94,10.159222156396709
95,10.621986739543075
96,52.04833884669661
97,5.162487499455835
98,9.539606054397012
99,8.790929245326481
100,10.89637514606818
101,10.705762871659658
102,8.024492288961511
103,7.640394897762292
104,8.667840042803476
105,18.50177579663992
106,67.55349799713709
107,9.828402749505187
108,7.364335162747949
109,6.295660325208445
110,14.78220419337407
111,7.5198168512794155
112,8.440434621474964
113,17.22216998659124
114,13.5245766658403
115,86.40994730919166
116,10.000996480210262
117,14.403648777365248
118,94.16953314239457
119,12.932281631636016
120,12.568568854921608
121,10.160858143717093
122,9.97228907543365
123,7.330174280599948
124,4.096893659295574
125,7.410053863107493
126,5.259274078880253
127,6.566236306251454
128,7.80186681359757
129,12.217974138832489
130,65.9307812348537
131,7.785311930990673
132,11.561607032152779
133,15.069842532371865
134,9.63181155563521
135,56.08720715043894
136,4.166825909204334
137,5.32780864372819
138,10.23030838922574
139,9.841424376962351
140,4.654806567516772
141,9.344283825175665
142,13.452366290495007
143,7.34556334637702
144,51.47730011400911
145,73.64596397919732
146,45.68979603132679
147,19.441259956318362
148,6.995354848367413
149,10.896095517554528
150,9.143927344813392
151,12.58154781147553
152,6.438903057636992
153,7.8205829245153495
154,15.843162164174146
155,5.347665626886453
156,61.13562611994696
